year,journal,baseline_if,filtered_rif,weighted_rif
2004,Genes and Immunity,23.0,21.0,21.0
2004,European Journal of Clinical Investigation,16.0,13.5,13.5
2004,Circulation Research,4.0,2.0,2.0
2004,Regulatory Peptides,2.0,2.0,2.0
2004,Stroke,4.0,4.0,3.6667
2004,Nature Medicine,4.0,3.5,3.5
2004,Journal of Clinical Oncology,3.0,2.0,2.0
2004,American Journal of Preventive Medicine,8.0,6.5,6.25
2004,American Journal of Medical Genetics,23.0,19.0,18.5
2004,Controlled Clinical Trials,3.0,2.0,2.0
2004,Archives of Disease in Childhood,2.0,2.0,2.0
2004,Investigative Ophthalmology & Visual Science,4.0,2.0,2.0
2004,The Journal of Immunology,3.0,3.0,2.6667
2004,Journal of Biological Chemistry,1.5,1.0,1.0
2004,Ophthalmology,4.0,3.0,3.0
2004,Journal of the American College of Nutrition,17.0,10.0,10.0
2004,Journal of Thoracic and Cardiovascular Surgery,1.0,0.0,0.0
2004,Journal of Psychosomatic Research,2.0,1.6667,1.6667
2004,Fertility and Sterility,3.0,3.0,2.6667
2004,Proceedings of the National Academy of Sciences,3.0,3.0,3.0
2004,American Journal of Physiology-Endocrinology and Metabolism,5.0,4.0,4.0
2004,Brain Research,5.0,5.0,5.0
2004,Nature Reviews Drug Discovery,2.0,2.0,2.0
2004,Journal of Ethnopharmacology,2.0,2.0,2.0
2004,Patient Education and Counseling,3.0,2.5,2.5
2004,Annals of Internal Medicine,9.4,7.4,7.4
2004,Deakin Research Online (Deakin University),3.0,3.0,3.0
2004,Nature,4.0,3.0,3.0
2004,Otology & Neurotology,1.0,0.0,0.0
2004,European Journal of Human Genetics,0.0,0.0,0.0
2004,Journal of Internal Medicine,11.0,10.0,10.0
2004,Molecular Aspects of Medicine,6.0,6.0,6.0
2004,Drugs,17.0,15.0,14.5
2004,Lipids,7.0,7.0,7.0
2004,Clinics in Plastic Surgery,1.0,0.0,0.0
2004,Biological Psychiatry,12.0,10.0,10.0
2004,Journal of Hypertension,7.0,5.0,4.8334
2004,Transplantation,9.0,7.0,7.0
2004,Journal of Molecular Medicine,15.0,15.0,15.0
2004,Medicinal Research Reviews,11.0,10.0,10.0
2004,SSRN Electronic Journal,0.0,0.0,0.0
2004,American Journal of Epidemiology,1.5,1.5,1.5
2004,Diabetes/Metabolism Research and Reviews,8.0,6.6,6.6
2004,Journal of Neurology Neurosurgery & Psychiatry,1.0,1.0,1.0
2004,American Journal of Psychiatry,5.0,3.0,2.6667
2004,Annual Review of Genomics and Human Genetics,38.0,34.0,34.0
2004,The Journal of Experimental Medicine,2.0,1.0,0.75
2004,Journal of the American Geriatrics Society,13.5,10.5,10.5
2004,British Journal of Sports Medicine,4.0,4.0,4.0
2004,Science,0.5,0.5,0.5
2004,European Journal of Pharmacology,11.0,10.0,10.0
2004,Neurology,3.0,2.0,2.0
2004,Endocrinology and Metabolism Clinics of North America,19.0,16.0,16.0
2004,PEDIATRICS,5.0,3.0,3.0
2004,Journal of General Internal Medicine,8.0,7.0,7.0
2004,Community Dentistry And Oral Epidemiology,5.0,5.0,5.0
2004,Diabetes & Metabolism,6.5,4.5,4.5
2004,Physiological Research,2.0,1.0,1.0
2004,The Medical Journal of Australia,0.0,0.0,0.0
2004,The Journal of Pathology,0.0,0.0,0.0
2004,Clinical Chemistry and Laboratory Medicine (CCLM),3.0,3.0,3.0
2004,Journal of Clinical Epidemiology,0.0,0.0,0.0
2004,ACC Current Journal Review,5.0,4.0,4.0
2004,The Journal of Cardiovascular Nursing,7.0,5.0,5.0
2004,Progress in Cardiovascular Diseases,16.0,15.0,15.0
2004,Journal of Medical Genetics,3.0,3.0,3.0
2004,Archives of Pediatrics and Adolescent Medicine,7.0,6.0,6.0
2004,Human Mutation,5.0,4.0,4.0
2004,Journal of Sports Science and Medicine,6.0,5.0,4.5
2005,Diabetes Care,5.7099,4.6947,4.659
2005,American Journal of Public Health,3.0,2.0,2.0
2005,Annals of Surgery,8.6667,7.3333,7.3333
2005,American Journal of Clinical Nutrition,6.5,4.625,4.5625
2005,Archives of Internal Medicine,7.0,5.1667,5.1667
2005,Nature Genetics,2.0,1.3333,1.3333
2005,JAMA,6.5882,5.0,5.0
2005,The Journal of Clinical Endocrinology & Metabolism,6.4167,5.1667,5.125
2005,Diabetes,4.4412,3.7353,3.7353
2005,New England Journal of Medicine,6.9,5.5,5.5
2005,Journal of Clinical Investigation,5.0,4.5,4.4167
2005,Journal of Biochemical and Molecular Toxicology,8.0,4.0,4.0
2005,Diabetologia,8.5294,7.2353,7.2353
2005,The Lancet,4.7143,4.0,4.0
2005,ILAR Journal,9.0,5.0,5.0
2005,Hepatology,5.0,4.0,4.0
2005,Arteriosclerosis Thrombosis and Vascular Biology,10.5,8.5,8.5
2005,PharmacoEconomics,2.0,2.0,2.0
2005,Science,1.0,0.75,0.75
2005,Journal of Medicinal Chemistry,8.0,8.0,8.0
2005,The Journal of the American Dental Association,10.0,8.0,8.0
2005,Molecular Cancer,5.0,5.0,5.0
2005,Trends in Immunology,6.0,5.0,5.0
2005,Public Health Nutrition,44.0,34.0,34.0
2005,Kidney International,17.0,15.0,15.0
2005,The Journal of Experimental Medicine,4.6667,4.0,3.5556
2005,Journal of Molecular Medicine,17.0,15.5,15.5
2005,Postgraduate Medical Journal,3.5,3.0,3.0
2005,Liver Transplantation,1.0,1.0,1.0
2005,Circulation,10.8889,8.7778,8.7222
2005,Medical Clinics of North America,40.0,34.0,34.0
2005,Trends in Pharmacological Sciences,4.0,4.0,4.0
2005,Calcified Tissue International,9.0,9.0,9.0
2005,PubMed,13.3333,9.3333,8.8889
2005,The Aging Male,2.0,2.0,2.0
2005,Annals of Internal Medicine,10.2857,8.4286,8.4286
2005,Current Diabetes Reports,1.0,0.0,0.0
2005,The Journal of Clinical Pharmacology,31.0,28.0,27.5
2005,Controlled Clinical Trials,5.0,3.0,3.0
2005,Urology,0.0,0.0,0.0
2005,Neurology,6.0,4.25,4.25
2005,Journal of Nutrition,6.6667,5.0,4.6667
2005,Diabetic Medicine,7.0,4.5,4.5
2005,General Hospital Psychiatry,3.5,3.0,3.0
2005,Diabetes/Metabolism Research and Reviews,5.5,4.0,4.0
2005,Acta Clinica Belgica,3.0,3.0,3.0
2005,American Journal of Physiology-Endocrinology and Metabolism,3.0,3.0,3.0
2005,American Journal of Transplantation,3.0,2.3333,2.3333
2005,Social Science & Medicine,1.0,0.0,0.0
2005,Journal of the American Society of Nephrology,6.0,5.0,5.0
2005,Endocrine Practice,6.0,5.5,5.25
2005,European Heart Journal,7.0,6.0,6.0
2005,Obesity Research,6.0,4.5,4.5
2005,Endocrinology and Metabolism Clinics of North America,19.0,16.0,15.75
2005,Archives of Neurology,5.0,3.0,3.0
2005,Gastroenterology,6.3333,4.0,4.1111
2005,European Journal of Pharmacology,7.0,6.0,6.0
2005,Obstetrics and Gynecology,9.5,7.5,7.0
2005,Free Radical Research,2.0,2.0,2.0
2005,Clinical Diabetes,7.0,7.0,7.0
2005,Circulation Research,4.0,3.0,3.0
2005,Physiological Measurement,0.0,0.0,0.0
2005,Regulatory Peptides,3.0,3.0,3.0
2005,Stroke,4.0,3.0,2.5
2005,Nature Medicine,3.3333,2.6667,2.7333
2005,Journal of Clinical Oncology,3.0,3.0,3.0
2005,American Journal of Preventive Medicine,8.0,7.0,7.0
2005,CA A Cancer Journal for Clinicians,15.0,12.0,12.0
2005,Drugs,15.3333,12.3333,12.0
2005,Investigative Ophthalmology & Visual Science,4.0,4.0,3.75
2005,Journal of Biological Chemistry,3.75,3.0,3.0
2005,Ophthalmology,4.0,4.0,4.0
2005,Archives of Disease in Childhood Fetal & Neonatal,2.0,1.0,1.0
2005,Journal of the American College of Nutrition,18.0,15.0,15.0
2005,Annals of the New York Academy of Sciences,5.0,5.0,5.0
2005,BMJ,7.6667,7.0,7.0
2005,American Journal of Obstetrics and Gynecology,1.5,1.0,0.875
2005,Journal of Thoracic and Cardiovascular Surgery,1.0,1.0,1.0
2005,International Journal of Clinical Practice,25.0,22.0,22.0
2005,American Journal of Physiology-Renal Physiology,2.0,2.0,2.0
2005,Journal of Ethnopharmacology,0.0,0.0,0.0
2005,Proceedings of the National Academy of Sciences,3.6667,2.6667,2.6667
2005,American Journal of Epidemiology,4.0,3.0,3.1111
2005,Cardiovascular Research,13.0,11.0,11.0
2005,Critical Care Nursing Quarterly,2.0,2.0,2.0
2005,Journal of the American College of Cardiology,5.0,3.3333,3.1667
2005,Chemical Reviews,36.0,31.0,30.5833
2005,Patient Education and Counseling,4.3333,3.3333,3.1667
2005,Health Psychology,2.0,2.0,2.0
2005,The Journal of Urology,0.0,0.0,0.0
2005,Nature,3.5,2.5,2.5
2005,Otology & Neurotology,1.0,0.0,0.0
2005,Endocrine Reviews,25.0,22.0,22.0
2005,Molecular Aspects of Medicine,6.0,5.0,4.5
2005,Lipids,10.0,8.0,8.0
2005,Journal of Clinical Epidemiology,0.5,0.5,0.5
2005,Clinics in Plastic Surgery,1.0,0.0,0.0
2005,Biological Psychiatry,19.0,18.0,17.5
2005,The Medical Journal of Australia,1.0,0.5,0.5
2005,Transplantation,11.0,11.0,11.0
2005,Clinical Chemistry,1.0,1.0,1.0
2005,Endocrinology,4.0,3.0,3.0
2005,SSRN Electronic Journal,0.0,0.0,0.0
2005,Journal of Andrology,0.0,0.0,0.0
2005,Annual Review of Genomics and Human Genetics,39.0,35.0,35.0
2005,Saudi Medical Journal,5.0,4.0,4.0
2005,Journal of the American Geriatrics Society,15.5,10.0,10.0
2005,European Journal of Clinical Nutrition,13.0,9.0,9.0
2005,Diabetes Research and Clinical Practice,9.0,7.0,7.0
2005,British Journal of Sports Medicine,4.0,4.0,4.0
2005,Endothelium,8.0,8.0,8.0
2005,Journal of Thrombosis and Haemostasis,11.0,10.0,10.0
2005,The American Journal of Medicine,10.0,10.0,10.0
2005,The Journal of Heart and Lung Transplantation,9.0,6.0,5.5
2005,Hypertension,3.0,3.0,3.0
2005,Journal of Hypertension,9.0,7.0,7.0
2005,Journal of the American Pharmaceutical Association (1996),2.0,2.0,2.0
2005,PEDIATRICS,5.0,4.0,4.0
2005,Nutrition Metabolism and Cardiovascular Diseases,18.0,15.0,15.0
2005,Brain,2.0,2.0,2.0
2005,Current Medical Research and Opinion,16.0,13.0,13.0
2005,Annual Review of Public Health,34.0,31.0,31.0
2005,Diabetes & Metabolism,9.5,7.5,7.5
2005,The Journal of Pathology,1.0,0.0,0.0
2005,Clinical Chemistry and Laboratory Medicine (CCLM),3.0,2.0,2.0
2005,The American Journal of Cardiology,1.0,1.0,1.0
2005,Clinical Gastroenterology and Hepatology,1.0,0.0,0.0
2005,Progress in Cardiovascular Diseases,18.0,15.0,15.0
2005,Epidemiologic Reviews,24.0,17.0,16.6667
2005,Antioxidants and Redox Signaling,13.0,9.0,9.0
2005,The Journal of Alternative and Complementary Medicine,0.0,0.0,0.0
2005,Journal of Clinical and Experimental Neuropsychology,13.0,12.0,12.0
2005,Human Mutation,5.0,5.0,5.0
2005,Mutation research. Fundamental and molecular mechanisms of mutagenesis,2.0,2.0,2.0
2005,Clinical Infectious Diseases,1.0,0.0,0.0
2005,Journal of General Internal Medicine,12.0,11.0,11.0
2005,British Journal of Ophthalmology,1.0,1.0,1.0
2006,Diabetes Care,7.094,5.7521,5.7229
2006,American Journal of Public Health,7.6667,7.0,6.8333
2006,Proceedings of the National Academy of Sciences,4.0,3.3333,3.3333
2006,New England Journal of Medicine,6.75,5.9167,5.9167
2006,Journal of Clinical Investigation,8.3,6.5,6.45
2006,Diabetes,7.4,5.8889,5.8704
2006,Archives of Internal Medicine,5.3,4.3,4.25
2006,The Journal of Clinical Endocrinology & Metabolism,8.1111,6.7778,6.6667
2006,Annals of Internal Medicine,9.7,8.2,8.2
2006,Circulation,7.0,5.6667,5.7222
2006,Diabetologia,8.5714,7.4286,7.3786
2006,The Lancet,9.8571,7.8571,7.7381
2006,JAMA,6.6667,4.9333,4.92
2006,ILAR Journal,10.0,10.0,10.0
2006,PharmacoEconomics,2.0,2.0,2.0
2006,Science,5.8571,5.1429,5.1429
2006,Journal of Medicinal Chemistry,12.0,10.0,10.0
2006,The Lancet Neurology,10.0,9.0,9.0
2006,Revista Española de Cardiología (English Edition),4.0,3.0,3.0
2006,Journal of neurosurgery,0.0,0.0,0.0
2006,Public Health Nutrition,44.0,38.0,38.0
2006,The American Journal of Chinese Medicine,1.0,1.0,1.0
2006,Journal of the American Society of Nephrology,1.5,1.0,1.0
2006,The Journal of Experimental Medicine,6.0,4.0,3.75
2006,Neurobiology of Aging,0.0,0.0,0.0
2006,Journal of Molecular Medicine,18.0,12.0,12.0
2006,Postgraduate Medical Journal,7.75,6.5,6.5
2006,Journal of Clinical Gastroenterology,14.0,12.0,12.0
2006,Liver Transplantation,1.0,0.0,0.0
2006,Medical Clinics of North America,39.0,32.0,32.0
2006,Trends in Pharmacological Sciences,6.0,6.0,6.0
2006,PEDIATRICS,9.5,6.5,6.5
2006,Nature,2.3333,2.0,2.0
2006,The Journal of Clinical Pharmacology,31.0,26.0,26.0
2006,Controlled Clinical Trials,5.0,4.0,4.0
2006,Urology,0.0,0.0,0.0
2006,Neurology,6.6667,4.6667,4.6667
2006,Diabetic Medicine,11.8,8.8,8.85
2006,Journal of the American Dietetic Association,13.0,11.0,10.75
2006,Diabetes/Metabolism Research and Reviews,7.0,7.0,7.0
2006,Investigative Ophthalmology & Visual Science,6.0,5.0,5.0
2006,Nature Clinical Practice Oncology,8.0,8.0,8.0
2006,American Journal of Physiology-Endocrinology and Metabolism,4.0,3.5,3.5
2006,Clinical Science,9.0,7.5,7.5
2006,Journal of Hypertension,6.5,5.0,5.0
2006,The American Journal of Medicine,14.0,9.0,9.0
2006,Endocrine Practice,7.0,6.0,5.75
2006,Nature Genetics,2.3333,2.3333,2.3333
2006,Trends in Endocrinology and Metabolism,5.5,5.0,4.9
2006,American Journal of Clinical Nutrition,9.5,7.6667,7.6667
2006,European Heart Journal,4.3333,3.3333,3.3333
2006,Endocrinology and Metabolism Clinics of North America,21.0,13.0,13.0
2006,Archives of Neurology,5.0,3.0,3.0
2006,Gastroenterology,6.2,5.2,5.1
2006,American Journal of Epidemiology,5.25,4.25,4.25
2006,European Journal of Pharmacology,8.0,7.0,7.0
2006,American Journal of Health-System Pharmacy,4.0,3.0,3.0
2006,JNCI Journal of the National Cancer Institute,7.0,7.0,7.0
2006,Journal of General Internal Medicine,7.0,6.5,6.3334
2006,Trends in Molecular Medicine,0.0,0.0,0.0
2006,Clinical Diabetes,4.5,3.0,3.0
2006,British Journal of Cancer,8.0,6.0,6.0
2006,General Hospital Psychiatry,4.0,3.0,3.0
2006,The International Journal of Biochemistry & Cell Biology,5.0,5.0,5.0
2006,The Annals of Family Medicine,10.0,8.0,7.6667
2006,Physiological Measurement,0.0,0.0,0.0
2006,Journal of Nutrition,8.0,7.5,7.25
2006,Obstetrics and Gynecology,8.5,6.5,6.5
2006,Biomedicine & Pharmacotherapy,2.0,2.0,1.6667
2006,BMJ,7.5,6.75,6.8333
2006,Pharmacological Research,2.0,1.0,1.0
2006,Arteriosclerosis Thrombosis and Vascular Biology,17.0,14.0,14.0
2006,CA A Cancer Journal for Clinicians,19.0,15.0,15.0
2006,Journal of Applied Physiology,13.0,11.6667,11.6667
2006,Drugs,14.5,11.0,11.0
2006,Journal of Alzheimer s Disease,0.0,0.0,0.0
2006,American Journal of Obstetrics and Gynecology,4.3333,4.0,3.7778
2006,Endocrine Reviews,14.0,11.0,10.75
2006,American Journal of Respiratory and Critical Care Medicine,5.0,4.0,4.0
2006,American Journal of Transplantation,4.0,1.0,0.6667
2006,Archives of Disease in Childhood Fetal & Neonatal,2.0,1.0,1.0
2006,Cardiovascular Diabetology,8.0,8.0,8.0
2006,Annals of the New York Academy of Sciences,5.0,5.0,5.0
2006,Pediatric Clinics of North America,15.0,11.0,11.0
2006,Cochrane Database of Systematic Reviews,12.25,10.0,9.7917
2006,European Journal of Clinical Nutrition,13.5,10.5,10.5
2006,International Journal of Clinical Practice,26.0,22.0,22.0
2006,American Journal of Physiology-Renal Physiology,2.0,2.0,2.0
2006,Diabetes Spectrum,4.0,3.0,3.0
2006,PubMed,2.5,2.0,2.0
2006,Diabetes and Vascular Disease Research,8.0,7.0,7.0
2006,Journal of Ethnopharmacology,0.5,0.5,0.5
2006,Osteoporosis International,10.0,9.0,9.0
2006,Clinical Infectious Diseases,3.5,2.5,2.5
2006,Cardiovascular Research,14.0,11.0,11.0
2006,Critical Care Nursing Quarterly,3.0,2.0,2.0
2006,Best Practice & Research Clinical Endocrinology & Metabolism,12.0,9.0,9.3333
2006,Journal of the American College of Cardiology,5.25,3.75,3.5834
2006,Chemical Reviews,36.0,30.0,29.5
2006,Journal of Biological Chemistry,4.5,3.0,3.0
2006,Health Psychology,2.0,2.0,1.5
2006,The Journal of Urology,0.0,0.0,0.0
2006,The Journal of Pediatrics,3.5,3.0,3.0
2006,Journal of Periodontology,2.0,2.0,2.0
2006,Journal of Clinical Epidemiology,1.0,1.0,1.0
2006,The Medical Journal of Australia,0.0,0.0,0.0
2006,Endocrinology,4.0,4.0,4.0
2006,The Lancet Oncology,7.0,6.0,6.0
2006,Journal of Andrology,0.0,0.0,0.0
2006,Archives of Medical Research,18.0,16.5,16.5
2006,Nature Medicine,0.0,0.0,0.0
2006,Saudi Medical Journal,6.0,4.0,4.0
2006,The American Journal of Cardiology,4.5,3.0,3.0
2006,Diabetes Research and Clinical Practice,10.0,8.0,8.0
2006,Endothelium,9.0,7.0,7.0
2006,Gut,5.0,4.0,4.0
2006,Journal of Thrombosis and Haemostasis,13.0,11.0,11.0
2006,Glycobiology,5.0,4.0,4.0
2006,Kidney International,2.0,2.0,2.0
2006,Cell,6.0,4.5,4.5
2006,Canadian Medical Association Journal,18.0,15.0,15.0
2006,The Journal of Heart and Lung Transplantation,12.0,12.0,12.0
2006,Hypertension,5.0,4.0,4.0
2006,Environmental Health Perspectives,2.0,2.0,2.0
2006,Cell Metabolism,4.0,2.0,2.0
2006,Nutrition Metabolism and Cardiovascular Diseases,21.0,15.0,15.0
2006,Brain,3.0,1.0,1.0
2006,American Journal of Sociology,6.0,3.0,3.0
2006,Current Medical Research and Opinion,16.0,15.0,14.8333
2006,Annual Review of Public Health,40.0,38.0,38.0
2006,Applied Numerical Mathematics,1.0,0.0,0.0
2006,Patient Education and Counseling,4.0,4.0,4.0
2006,International Journal of Food Sciences and Nutrition,0.0,0.0,0.0
2006,Nutrition & Metabolism,2.0,0.0,0.0
2006,Clinical Gastroenterology and Hepatology,1.0,1.0,1.0
2006,Epidemiologic Reviews,24.0,17.0,17.0
2006,Antioxidants and Redox Signaling,15.0,13.0,13.0
2006,The Journal of Alternative and Complementary Medicine,0.0,0.0,0.0
2006,Journal of Clinical and Experimental Neuropsychology,15.0,14.0,14.0
2006,Obesity Research,5.0,4.0,4.0
2006,Mutation research. Fundamental and molecular mechanisms of mutagenesis,3.0,2.0,2.0
2006,British Journal of Ophthalmology,1.0,0.0,0.0
2006,Molecular Nutrition & Food Research,2.0,1.0,1.0
2007,Diabetes Care,8.6275,7.0686,7.0359
2007,Diabetes,8.7692,7.1795,7.1812
2007,The Journal of Clinical Endocrinology & Metabolism,5.8571,4.7143,4.6429
2007,New England Journal of Medicine,5.2222,4.5556,4.463
2007,Proceedings of the National Academy of Sciences,5.3333,4.0,4.0
2007,American Journal of Preventive Medicine,11.0,10.0,10.0
2007,Diabetologia,7.9048,6.7143,6.6905
2007,Journal of Clinical Investigation,14.25,11.625,11.5625
2007,Nature,3.6667,2.6667,2.6667
2007,Diabetes Research and Clinical Practice,6.5,6.5,6.5
2007,Annals of Internal Medicine,9.75,7.375,7.375
2007,Circulation,12.3333,10.6667,10.6667
2007,JAMA,6.6364,5.5455,5.4091
2007,The Journals of Gerontology Series A,12.0,11.0,11.0
2007,American Journal of Physiology-Endocrinology and Metabolism,3.0,2.5,2.5
2007,Diabetic Medicine,8.0714,6.7857,6.6905
2007,European Journal of Endocrinology,4.0,4.0,4.0
2007,The Lancet,13.25,9.9167,9.875
2007,Science,8.0,6.8333,6.8333
2007,Molecular Psychiatry,5.0,5.0,5.0
2007,The Lancet Neurology,19.0,18.0,18.0
2007,Revista Española de Cardiología (English Edition),3.0,3.0,3.0
2007,Journal of neurosurgery,0.0,0.0,0.0
2007,Journal of Ethnobiology and Ethnomedicine,0.0,0.0,0.0
2007,The American Journal of Chinese Medicine,2.0,2.0,2.0
2007,Journal of the American Society of Nephrology,1.25,0.75,0.8333
2007,Neurobiology of Aging,0.0,0.0,0.0
2007,Nature Genetics,3.75,3.5,3.5
2007,Journal of Ethnopharmacology,2.0,1.3333,1.3333
2007,Journal of Clinical Gastroenterology,19.0,18.0,18.0
2007,Diabetes Obesity and Metabolism,16.5,14.0,14.0
2007,European Heart Journal,36.3333,30.0,30.0
2007,BMC Health Services Research,4.5,3.0,2.5
2007,PEDIATRICS,7.5,6.75,6.75
2007,Thorax,1.0,0.0,0.0
2007,Archives of Internal Medicine,5.6667,4.5556,4.5926
2007,Journal of Periodontology,8.0,6.5,6.5
2007,Journal of the American Dietetic Association,8.5,7.5,7.5
2007,Journal of Clinical Oncology,0.0,0.0,0.0
2007,BMJ,5.6667,5.0,5.0
2007,Investigative Ophthalmology & Visual Science,6.0,4.0,4.0
2007,Nature Clinical Practice Oncology,10.0,8.0,8.0
2007,Clinical Science,11.0,8.5,8.5
2007,Journal of Hypertension,8.0,7.5,7.5
2007,Annals of the New York Academy of Sciences,16.0,11.5,11.5
2007,The American Journal of Medicine,16.0,14.0,14.0
2007,Trends in Endocrinology and Metabolism,6.0,3.5,3.5
2007,American Journal of Clinical Nutrition,10.4,8.2,8.2
2007,American Journal of Epidemiology,5.0,4.5,4.5
2007,American Journal of Health-System Pharmacy,4.0,3.0,3.0
2007,Diabetes & Metabolism,15.0,13.0,13.0
2007,JNCI Journal of the National Cancer Institute,12.0,10.0,10.0
2007,Journal of Diabetes and its Complications,5.0,4.0,4.0
2007,Toxicology and Applied Pharmacology,13.0,11.0,11.0
2007,Hepatology,5.0,4.0,4.0
2007,Journal of General Internal Medicine,2.0,0.0,0.0
2007,Trends in Molecular Medicine,0.0,0.0,0.0
2007,Health Expectations,2.0,2.0,2.0
2007,Annals of Surgery,8.0,5.0,5.0
2007,British Journal of Cancer,9.0,8.0,8.0
2007,The International Journal of Biochemistry & Cell Biology,5.0,4.0,4.0
2007,The Annals of Family Medicine,10.0,8.0,8.0
2007,Obstetrics and Gynecology,9.0,6.0,6.0
2007,Biomedicine & Pharmacotherapy,2.0,2.0,2.0
2007,Pharmacological Research,2.0,2.0,2.0
2007,Digital Signal Processing,0.0,0.0,0.0
2007,Nature Medicine,2.0,1.5,1.5
2007,Journal of Applied Physiology,15.3333,13.0,12.6667
2007,Journal of Alzheimer s Disease,0.0,0.0,0.0
2007,Journal of Nutrition,5.0,4.0,4.0
2007,American Journal of Obstetrics and Gynecology,10.0,9.0,9.0
2007,Endocrine Reviews,1.0,0.0,0.0
2007,American Journal of Respiratory and Critical Care Medicine,5.0,3.0,3.0
2007,Cochrane Database of Systematic Reviews,11.6,9.8,9.7333
2007,Cardiovascular Diabetology,10.0,9.0,9.0
2007,Hypertension,1.0,0.0,0.0
2007,Pediatric Clinics of North America,17.0,17.0,17.0
2007,American Journal of Public Health,11.0,7.5,7.5
2007,General Hospital Psychiatry,9.0,6.0,6.0
2007,European Journal of Clinical Nutrition,14.0,10.0,10.0
2007,Diabetes Spectrum,5.5,4.0,4.0
2007,PubMed,6.6667,5.5,5.5
2007,Diabetes and Vascular Disease Research,9.0,9.0,9.0
2007,Osteoporosis International,8.0,6.0,6.0
2007,Clinical Infectious Diseases,6.0,5.0,5.0
2007,Clinical Journal of the American Society of Nephrology,3.0,2.0,1.75
2007,Clinical Gastroenterology and Hepatology,7.0,6.0,6.0
2007,Best Practice & Research Clinical Endocrinology & Metabolism,13.0,11.0,11.0
2007,Physiological Genomics,1.0,0.0,0.0
2007,Journal of the American College of Cardiology,9.5,7.75,7.8333
2007,The Journal of Nutritional Biochemistry,24.0,21.0,21.0
2007,Postgraduate Medical Journal,13.6667,11.3333,11.0556
2007,The Journal of Pediatrics,3.3333,3.0,3.0
2007,Environmental Health Perspectives,1.5,0.5,0.5
2007,Nature Clinical Practice Endocrinology &#38 Metabolism,7.5,6.0,6.0
2007,Medical Mycology,0.0,0.0,0.0
2007,International Journal of Clinical Practice,9.0,8.5,8.5
2007,Schizophrenia Research,3.0,1.0,1.0
2007,Clinical Diabetes,2.0,1.0,1.0
2007,The Lancet Oncology,8.0,6.0,6.0
2007,Archives of Biochemistry and Biophysics,8.0,7.0,7.0
2007,Diabetes/Metabolism Research and Reviews,11.5,10.0,9.8333
2007,Archives of Medical Research,20.5,18.5,18.0833
2007,Archives of Neurology,13.0,11.0,11.0
2007,Endocrine Practice,7.0,7.0,7.0
2007,The American Journal of Cardiology,8.0,6.0,6.0
